Economy_Label,SeafarerType_Label,Percentage_of_total_world_Value,Percentage_of_total_world_Footnote,Percentage_of_total_world_MissingValue,Absolute_value_Value,Absolute_value_Footnote,Absolute_value_MissingValue
"Montenegro","Officers",0.026,,,224,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Montenegro","Ratings",0.041,,,425,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Montenegro","Total",0.034,,,649,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Morocco","Officers",0.125,,,1069,"Estimated by BIMCO/ICS to be the same figure as in 2015",
"Morocco","Ratings",0.677,,,7012,"Estimated by BIMCO/ICS to be the same figure as in 2015",
"Morocco","Total",0.427,,,8081,"Estimated by BIMCO/ICS to be the same figure as in 2015",
"Mozambique","Officers",0.014,,,123,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Mozambique","Ratings",0.018,,,189,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Mozambique","Total",0.016,,,312,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Myanmar","Officers",1.624,,,13923,,
"Myanmar","Ratings",1.871,,,19367,,
"Myanmar","Total",1.759,,,33290,,
"Namibia","Officers",0.004,,,33,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Namibia","Ratings",0.005,,,56,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Namibia","Total",0.005,,,89,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Nauru","Officers",0.001,,,11,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Nauru","Ratings",0.002,,,16,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Nauru","Total",0.001,,,27,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Netherlands (Kingdom of the)","Officers",1.127,,,9667,"BIMCO/ICS uses 2018 data from European Maritime Safety Agency",
"Netherlands (Kingdom of the)","Ratings",0,,,0,"BIMCO/ICS uses 2018 data from European Maritime Safety Agency",
"Netherlands (Kingdom of the)","Total",0.511,,,9667,"BIMCO/ICS uses 2018 data from European Maritime Safety Agency",
"New Zealand","Officers",0.187,,,1602,,
"New Zealand","Ratings",0.028,,,287,,
"New Zealand","Total",0.1,,,1889,,
"Nicaragua","Officers",0.001,,,11,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Nicaragua","Ratings",0.002,,,16,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Nicaragua","Total",0.001,,,27,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Nigeria","Officers",1.044,,,8953,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Nigeria","Ratings",1.609,,,16657,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Nigeria","Total",1.353,,,25610,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Niue","Officers",0.02,,,175,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Niue","Ratings",0.025,,,259,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Niue","Total",0.023,,,434,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Norway","Officers",1.908,,,16366,"BIMCO/ICS uses 2018 data from European Maritime Safety Agency",
"Norway","Ratings",0.63,,,6521,"BIMCO/ICS uses 2018 data from European Maritime Safety Agency",
"Norway","Total",1.209,,,22887,"BIMCO/ICS uses 2018 data from European Maritime Safety Agency",
"Oman","Officers",0.021,,,182,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Oman","Ratings",0.028,,,288,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Oman","Total",0.025,,,470,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Pakistan","Officers",0.331,,,2841,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Pakistan","Ratings",0.901,,,9327,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Pakistan","Total",0.643,,,12168,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Palau","Officers",0,,,0,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Palau","Ratings",0,,,0,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Palau","Total",0,,,0,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Panama","Officers",1.635,,,14022,"Estimated by BIMCO/ICS to be the same figure as in 2015",
"Panama","Ratings",1.074,,,11119,"Estimated by BIMCO/ICS to be the same figure as in 2015",
"Panama","Total",1.328,,,25141,"Estimated by BIMCO/ICS to be the same figure as in 2015",
"Papua New Guinea","Officers",0.056,,,482,,
"Papua New Guinea","Ratings",0.029,,,300,,
"Papua New Guinea","Total",0.041,,,782,,
"Paraguay","Officers",0.06,,,517,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Paraguay","Ratings",0.076,,,789,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Paraguay","Total",0.069,,,1306,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Peru","Officers",0.13,,,1113,"Estimated by BIMCO/ICS to be the same figure as in 2015",
"Peru","Ratings",0.165,,,1711,"Estimated by BIMCO/ICS to be the same figure as in 2015",
"Peru","Total",0.149,,,2824,"Estimated by BIMCO/ICS to be the same figure as in 2015",
"Philippines","Officers",9.456,,,81090,"Estimated based on survey response or demand and adjusted by BIMCO/ICS",
"Philippines","Ratings",16.548,,,171303,"Estimated based on survey response or demand and adjusted by BIMCO/ICS",
"Philippines","Total",13.335,,,252393,"Estimated based on survey response or demand and adjusted by BIMCO/ICS",
"Poland","Officers",2.807,,,24070,,
"Poland","Ratings",0.691,,,7152,,
"Poland","Total",1.65,,,31222,,
"Portugal","Officers",0.083,,,715,,
"Portugal","Ratings",0.051,,,523,,
"Portugal","Total",0.065,,,1238,,
"Qatar","Officers",0.105,,,902,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Qatar","Ratings",0.163,,,1689,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Qatar","Total",0.137,,,2591,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Romania","Officers",1.533,,,13149,"BIMCO/ICS uses 2018 data from European Maritime Safety Agency",
"Romania","Ratings",0.44,,,4559,"BIMCO/ICS uses 2018 data from European Maritime Safety Agency",
"Romania","Total",0.936,,,17708,"BIMCO/ICS uses 2018 data from European Maritime Safety Agency",
"Russian Federation","Officers",8.355,,,71652,"Estimated based on survey response or demand and adjusted by BIMCO/ICS",
"Russian Federation","Ratings",12.217,,,126471,"Estimated based on survey response or demand and adjusted by BIMCO/ICS",
"Russian Federation","Total",10.468,,,198123,"Estimated based on survey response or demand and adjusted by BIMCO/ICS",
"Saint Kitts and Nevis","Officers",0.196,,,1678,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Saint Kitts and Nevis","Ratings",0.271,,,2805,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Saint Kitts and Nevis","Total",0.237,,,4483,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Saint Lucia","Officers",0,,,0,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Saint Lucia","Ratings",0,,,0,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Saint Lucia","Total",0,,,0,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Saint Vincent and the Grenadines","Officers",0,,,0,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Saint Vincent and the Grenadines","Ratings",0,,,0,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Saint Vincent and the Grenadines","Total",0,,,0,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Samoa","Officers",0.002,,,21,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Samoa","Ratings",0.003,,,28,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Samoa","Total",0.003,,,49,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"San Marino","Officers",0,,,0,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"San Marino","Ratings",0,,,0,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"San Marino","Total",0,,,0,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Sao Tome and Principe","Officers",0.026,,,225,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Sao Tome and Principe","Ratings",0.032,,,332,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Sao Tome and Principe","Total",0.029,,,557,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Saudi Arabia","Officers",0.287,,,2461,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Saudi Arabia","Ratings",0.386,,,3995,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Saudi Arabia","Total",0.341,,,6456,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Senegal","Officers",0.022,,,189,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Senegal","Ratings",0.029,,,300,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Senegal","Total",0.026,,,489,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Serbia","Officers",0.002,,,16,,
"Serbia","Ratings",0,,,1,,
"Serbia","Total",0.001,,,17,,
"Seychelles","Officers",0.021,,,179,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Seychelles","Ratings",0.032,,,333,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Seychelles","Total",0.027,,,512,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Sierra Leone","Officers",0.461,,,3953,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Sierra Leone","Ratings",0.544,,,5633,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Sierra Leone","Total",0.506,,,9586,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Singapore","Officers",0.693,,,5940,,
"Singapore","Ratings",0.006,,,60,,
"Singapore","Total",0.317,,,6000,,
"Slovakia","Officers",0.01,,,85,"BIMCO/ICS uses 2018 data from European Maritime Safety Agency",
"Slovakia","Ratings",0.003,,,27,"BIMCO/ICS uses 2018 data from European Maritime Safety Agency",
"Slovakia","Total",0.006,,,112,"BIMCO/ICS uses 2018 data from European Maritime Safety Agency",
"Slovenia","Officers",0.044,,,374,"BIMCO/ICS uses 2018 data from European Maritime Safety Agency",
"Slovenia","Ratings",0,,,0,"BIMCO/ICS uses 2018 data from European Maritime Safety Agency",
"Slovenia","Total",0.02,,,374,"BIMCO/ICS uses 2018 data from European Maritime Safety Agency",
"Solomon Islands","Officers",0.024,,,208,"Estimated by BIMCO/ICS to be the same figure as in 2015",
"Solomon Islands","Ratings",0.125,,,1294,"Estimated by BIMCO/ICS to be the same figure as in 2015",
"Solomon Islands","Total",0.079,,,1502,"Estimated by BIMCO/ICS to be the same figure as in 2015",
"Somalia","Officers",0,,,0,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Somalia","Ratings",0.005,,,56,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Somalia","Total",0.003,,,56,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"South Africa","Officers",0.232,,,1986,"Estimated by BIMCO/ICS to be the same figure as in 2015",
"South Africa","Ratings",0.101,,,1044,"Estimated by BIMCO/ICS to be the same figure as in 2015",
"South Africa","Total",0.16,,,3030,"Estimated by BIMCO/ICS to be the same figure as in 2015",
"Spain","Officers",1.441,,,12355,"BIMCO/ICS uses 2018 data from European Maritime Safety Agency",
"Spain","Ratings",1.172,,,12132,"BIMCO/ICS uses 2018 data from European Maritime Safety Agency",
"Spain","Total",1.294,,,24487,"BIMCO/ICS uses 2018 data from European Maritime Safety Agency",
"Sri Lanka","Officers",0.266,,,2282,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Sri Lanka","Ratings",1.885,,,19511,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Sri Lanka","Total",1.151,,,21793,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Sudan","Officers",0.005,,,40,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Sudan","Ratings",0.006,,,59,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Sudan","Total",0.005,,,99,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Suriname","Officers",0.005,,,44,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Suriname","Ratings",0.006,,,62,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Suriname","Total",0.006,,,106,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Sweden","Officers",0.691,,,5922,,
"Sweden","Ratings",0.638,,,6605,,
"Sweden","Total",0.662,,,12527,,
"Switzerland, Liechtenstein","Officers",0,,,1,,
"Switzerland, Liechtenstein","Ratings",0,,,0,,
"Switzerland, Liechtenstein","Total",0,,,1,,
"Switzerland","Officers",0,,,1,,
"Switzerland","Ratings",0,,,0,,
"Switzerland","Total",0,,,1,,
"Syrian Arab Republic","Officers",0.014,,,121,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Syrian Arab Republic","Ratings",0.02,,,202,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Syrian Arab Republic","Total",0.017,,,323,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Tanzania, United Republic of","Officers",0.202,,,1728,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Tanzania, United Republic of","Ratings",0.255,,,2637,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Tanzania, United Republic of","Total",0.231,,,4365,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Thailand","Officers",0.716,,,6137,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Thailand","Ratings",0.922,,,9545,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Thailand","Total",0.829,,,15682,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Togo","Officers",0.041,,,350,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Togo","Ratings",0.046,,,478,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Togo","Total",0.044,,,828,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Tonga","Officers",0.009,,,79,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Tonga","Ratings",0.012,,,124,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Tonga","Total",0.011,,,203,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Trinidad and Tobago","Officers",0.089,,,760,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Trinidad and Tobago","Ratings",0.149,,,1545,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Trinidad and Tobago","Total",0.122,,,2305,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Tunisia","Officers",0.048,,,414,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Tunisia","Ratings",0.063,,,655,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Tunisia","Total",0.056,,,1069,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Turkiye","Officers",1.23,,,10551,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Turkiye","Ratings",1.742,,,18036,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Turkiye","Total",1.51,,,28587,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Turkmenistan","Officers",0.069,,,594,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Turkmenistan","Ratings",0.104,,,1072,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Turkmenistan","Total",0.088,,,1666,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Tuvalu","Officers",0.143,,,1226,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Tuvalu","Ratings",0.208,,,2158,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Tuvalu","Total",0.179,,,3384,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Uganda","Officers",0,,,0,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Uganda","Ratings",0,,,0,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Uganda","Total",0,,,0,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Ukraine","Officers",5.488,,,47059,"Estimated based on survey response or demand and adjusted by BIMCO/ICS",
"Ukraine","Ratings",2.838,,,29383,"Estimated based on survey response or demand and adjusted by BIMCO/ICS",
"Ukraine","Total",4.039,,,76442,"Estimated based on survey response or demand and adjusted by BIMCO/ICS",
"United Arab Emirates","Officers",0.326,,,2799,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"United Arab Emirates","Ratings",0.501,,,5188,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"United Arab Emirates","Total",0.422,,,7987,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"United Kingdom","Officers",2.881,,,24708,,
"United Kingdom","Ratings",0.873,,,9035,,
"United Kingdom","Total",1.783,,,33743,,
"United Kingdom excl. Channel Islands and Isle of Man","Officers",2.881,,,24708,,
"United Kingdom excl. Channel Islands and Isle of Man","Ratings",0.873,,,9035,,
"United Kingdom excl. Channel Islands and Isle of Man","Total",1.783,,,33743,,
"United States of America","Officers",2.384,,,20442,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"United States of America","Ratings",3.781,,,39144,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"United States of America","Total",3.148,,,59586,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"United States of America including Puerto Rico","Officers",2.384,,,20442,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"United States of America including Puerto Rico","Ratings",3.781,,,39144,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"United States of America including Puerto Rico","Total",3.148,,,59586,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"United States of America excluding Puerto Rico and United States Virgin Islands","Officers",2.384,,,20442,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"United States of America excluding Puerto Rico and United States Virgin Islands","Ratings",3.781,,,39144,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"United States of America excluding Puerto Rico and United States Virgin Islands","Total",3.148,,,59586,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Uruguay","Officers",0.044,,,380,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Uruguay","Ratings",0.064,,,662,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Uruguay","Total",0.055,,,1042,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Vanuatu","Officers",0.031,,,266,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Vanuatu","Ratings",0.05,,,520,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Vanuatu","Total",0.042,,,786,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Venezuela (Bolivarian Rep. of)","Officers",0.16,,,1372,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Venezuela (Bolivarian Rep. of)","Ratings",0.325,,,3363,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Venezuela (Bolivarian Rep. of)","Total",0.25,,,4735,"Estimated by BIMCO/ICS to be the same figure as in 2010",
"Viet Nam","Officers",1.62,,,13890,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Viet Nam","Ratings",2,,,20700,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Viet Nam","Total",1.828,,,34590,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Yemen","Officers",0.014,,,116,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Yemen","Ratings",0.016,,,168,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Yemen","Total",0.015,,,284,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Zambia","Officers",0,,,0,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Zambia","Ratings",0,,,0,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Zambia","Total",0,,,0,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Zimbabwe","Officers",0,,,0,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Zimbabwe","Ratings",0,,,0,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
"Zimbabwe","Total",0,,,0,"Estimated by BIMCO/ICS based on estimates of seafarer demand",
